urls,names,bio,birth,death,age,place
"https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%BE%D1%80%D1%87%D0%BA%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%93%D0%B0%D0%B2%D1%80%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Сморчков, Николай Гаврилович","Николай Гаврилович Сморчков (9 августа 1930, село Иваньково, Ивановская область, СССР — 5 марта 2021[1], Москва, Россия) — советский и российский киноактёр.",09.08.1930,05.03.2021,90,Москва
"https://ru.wikipedia.org/wiki/%D0%9B%D1%8F%D0%B4%D0%BE%D0%B2%D0%B0,_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0","Лядова, Людмила Алексеевна","Людми́ла Алексе́евна Ля́дова (29 марта 1925, Свердловск, СССР — 10 марта 2021[1], Москва[2], Россия) — советский и российский композитор, пианистка, певица; народная артистка РСФСР (1984).",29.03.1925,10.03.2021,95,Москва
"https://ru.wikipedia.org/wiki/%D0%95%D0%BB%D0%B8%D0%BD,_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Елин, Георгий Анатольевич","Георгий Анатольевич Елин (6 августа 1951, Москва — 18 марта 2021, там же[1]) — русский журналист, редактор и литератор. Член Союза журналистов (1980), Член Союза писателей СССР (1991), после разделения союзов — СП Москвы (c 1993).",06.08.1951,18.03.2021,69,Москва
"https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%80%D1%81%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87","Кирсанов, Владимир Иванович","Влади́мир Ива́нович Кирса́нов (13 августа 1947 — 20 марта 2021) —  советский и российский эстрадный танцовщик (чечётка), хореограф, педагог. Заслуженный артист Российской Федерации (1995). Профессор Российского института театрального искусства (ГИТИС).",13.08.1947,20.03.2021,73,
"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%B3%D0%B5%D0%BB%D0%BE%D0%B2,_%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D0%B8%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Маргелов, Виталий Васильевич","Вита́лий Васи́льевич Марге́лов (1 декабря 1941, Молотов — 22 марта 2021, Москва) — советский и российский разведчик. Заместитель директора Службы внешней разведки Российской Федерации (1997—2003), генерал-полковник (2001).",01.12.1941,22.03.2021,79,Москва
"https://ru.wikipedia.org/wiki/%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87_(%D1%83%D1%87%D1%91%D0%BD%D1%8B%D0%B9)","Иванов, Игорь Васильевич (учёный)","И́горь Васи́льевич Ивано́в (2 июля 1937 — 30 марта 2021[1]) — советский и российский учёный-почвовед и историк науки, председатель Комиссии истории, философии и социологии почвоведения Общества почвоведов имени В. В. Докучаева, Заслуженный деятель науки РФ (1998), профессор (2006).[2].",02.07.1937,30.03.2021,83,Егорьевск
"https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B3%D0%BE%D1%80%D1%83%D0%BB%D1%8C%D0%BA%D0%BE,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Загорулько, Евгений Петрович","Евгéний Петрóвич Загорýлько (26 августа 1942 — 3 апреля 2021) — советский и российский тренер по лёгкой атлетике (прыжок в высоту), заслуженный тренер СССР и РФ.",26.08.1942,03.04.2021,78,
"https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BD%D0%B4%D0%BB%D0%B8%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%98%D0%BB%D1%8C%D0%B8%D1%87","Гендлин, Владимир Ильич","Влади́мир Ильи́ч (Хильевич) Ге́ндлин (26 мая 1936, Москва — 5 апреля 2021, там же[2]) — российский спортивный комментатор, журналист, основоположник трансляций профессионального бокса на российском телевидении, эксперт по боксу. Мастер спорта СССР. Двукратный лауреат национального телевизионного конкурса «ТЭФИ»[3][4].",26.05.1936,05.04.2021,84,Москва
"https://ru.wikipedia.org/wiki/%D0%A8%D1%83%D0%B2%D0%B0%D0%BB%D0%BE%D0%B2,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Шувалов, Виктор Григорьевич","Ви́ктор Григо́рьевич Шува́лов (15 декабря 1923, Наборные Сыреси, Симбирская губерния[1] — 18 апреля 2021, Москва[2]) — советский хоккеист (хоккей с мячом, хоккей с шайбой) и футболист, тренер. Заслуженный мастер спорта СССР по хоккею с шайбой (1954), мастер спорта СССР по футболу (1951).",15.12.1923,18.04.2021,97,Москва
"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%80%D0%B5%D0%BD%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Абаренов, Анатолий Анатольевич","Анато́лий Анато́льевич Абаре́нов (10 июля 1938, Москва — 19 апреля 2021, Таруса, Калужская область, Россия) — советский и российский мультипликатор, художник-иллюстратор.",10.07.1938,19.04.2021,82,Таруса
